ABT,ADSK,AEP,AFL,AIG,AMAT,AON,APA,APD,ARNC,AVY,BAC,BAX,BBT,BCR,BDX,BHI,BK,C,CA,CAG,CCL,CLX,CMA,CPB,CSX,CTL,CVX,D,DOW,DUK,ED,EIX,ETR,EXC,FDX,FITB,GD,GE,GIS,GLW,HAS,HBAN,HES,HPQ,HRB,IBM,INTC,JNJ,JPM,K,KMB,KO,KR,L,LLY,LMT,MCD,MDT,MMC,MRK,MUR,NEE,NEM,NSC,NTRS,NUE,ORCL,OXY,PAYX,PCAR,PCG,PEG,PEP,PFE,PG,PHM,PNC,PPL,R,RTN,SCHW,SEE,SLB,SO,STI,STT,SYY,T,TAP,TGT,TXT,USB,VNO,WFC,WMT,XEL,XOM,XRX,ZION,FFY,^GSPC,risk-free
-0.065582313,-0.030120496,-0.052820379,-0.035196063,-0.089246132,0.08437756,0.036167248,0.045986227,-0.064897485,0.045038295,-0.036751129,-0.011563285,0.007452093,-0.021752149,0.042695787,0.048780596,0.02883981,-0.099604632,-0.029403218,-0.001495854,-0.059519018,-0.042495828,0.107012019,0.011851893,-0.134751767,-0.038148579,-0.096604022,0.007355919,0.006209035,-0.060564369,-0.192317831,-0.008891049,0.002433091,0.032736652,-0.025709229,-0.022813631,-0.004498654,-0.104021788,0.047626429,-0.045849086,0.20588218,0.009166674,0.012124506,-0.056567763,-0.089603642,0.070731101,-0.001257967,0.102942945,-0.017610017,-0.028277577,-0.107082228,-0.010578387,-0.005931675,-0.123923054,-0.003554817,-0.055820804,-0.102256016,-0.044241572,-0.004897574,-0.045273244,-0.047662081,0.024357973,-0.030787276,-0.055958618,-0.028947099,-0.059894352,0.04234515,-0.005818731,0.02362212,0.042096804,0.113243044,-0.076086954,-0.018424034,-0.053359683,-0.017786634,-0.0433563,0.017006787,0.020208889,0.004857047,0.013613012,-0.100033189,-0.142099497,-0.038441126,0.109076347,0.001419909,0.000953798,-0.069209453,-0.076608759,-0.1489362,-0.197537818,0.017802683,-0.063018635,-0.008530815,0.014492827,-0.036496963,0.005439382,0.006352077,0.00295204,0.016949325,0.037775512,-0.0005,-0.017003609,0.003029025
0.08531933,0.045511964,-0.044794142,0.064792177,0.014367834,0.089211639,-0.047974443,-0.055258555,-0.025076027,0.085257531,0.002793241,-0.015416252,0.10408921,-0.07520693,-0.004126752,0.262499942,-0.117478485,-0.05844523,-0.080046386,0.003537765,-0.036906784,0.00790069,-0.030587295,0.045706396,-0.079569871,-0.018518598,0.058971249,-0.029220684,-0.061674015,-0.113300423,-0.021444701,0.007622003,-0.011494285,-0.043841359,-0.219072226,0.065506624,-0.067278172,0.003290572,0.056218046,0.046967238,-0.07912464,0.097904569,-0.062500059,-0.003416869,-0.036072127,-0.020920521,-0.056152979,0.153461934,0.016129043,-0.015544465,-0.065491168,0.058301585,-0.02905345,0.064625792,-0.058893068,-0.028725281,0.056472134,-0.013088998,-0.026311297,-0.002691394,0.107311304,-0.078431282,-0.030622951,-0.029787236,0.034835972,-0.034050222,-0.014229814,0.042016993,-0.130063925,-0.053812911,-0.03809505,-0.016494918,-0.025540372,-0.003448264,0.096395643,-0.014936852,0.020927613,-0.087583132,-0.083550802,0.02290082,0.032178265,-0.129657373,0.018218643,-0.084627297,-0.047752773,-0.029772299,-0.037594053,-0.017832164,0.068033042,-0.045112848,0.065740698,-0.042999997,-0.040305066,-0.03062576,-0.059677444,0.009508696,-0.079399172,-0.030643508,0.087986503,-0.052341604,0.0085,0.010150177,0.004481219
0.012820487,0.011235948,0.027681648,0.055555556,0.018867945,0.099290296,-0.02272727,0.071851025,0.007872132,0.00180512,-0.004237352,0.039787717,0.042900291,0.025974008,0.035897472,0.057018073,0,0.024719146,-0.028124961,0.007994646,-0.014018614,-0.015584369,0.043269386,-0.008518227,-0.035294085,-0.013554276,0.056410142,0.00287763,0.025423681,-0.012492559,0.008928611,0.032128482,-0.001526018,-0.023728785,0.075555611,-0.008741283,0.040427992,0.024999949,0.073355802,0,0.053210357,-0.058441501,0.041652095,-0.028943684,0.074680825,0.06919107,0.048723825,0.008130022,0.028653269,0.052049022,-0.060041427,-0.010887621,0.06249998,0.080536851,0.00540576,0.034858455,-0.026737894,-0.027718612,0.063106698,0.014040513,0.011983688,-0.003114469,0.053872025,0.110843334,0.040590552,0.048494121,0.012729345,-0.090908899,-0.028858646,0.08526888,-0.078234523,0.035930838,0.00518288,0.019619187,0.037594083,0.00440525,-0.018668081,-0.021096976,0.020218874,0.044653755,0.077551058,0.015686205,0.134529235,0.033527243,0.020231106,0.025641014,-0.006203112,0.05882379,-0.0235293,-0.064748149,-0.066549721,0.062679008,0.053318764,-0.100671091,0.065574067,-0.126637538,0.035679632,0.005976038,0.084977228,0.007573731,0.0039,0.010091173,0.004695962
0.043259479,-0.163797551,-0.055494902,-0.018895373,-0.002557569,-0.339986002,0.130551727,-0.083741721,-0.085134389,-0.186516223,-0.079750992,-0.04173868,0.066860533,-0.008972181,-0.111322373,0.032474769,-0.121129253,-0.118387923,-0.115720458,-0.171014459,-0.021786518,-0.296035801,-0.006711426,-0.059605961,-0.006739993,-0.108658837,-0.044222478,-0.06611573,-0.057188188,-0.055747622,-0.037140761,-0.004400991,-0.033063836,-0.076843177,-0.183150139,-0.127078348,0.058227454,0.118541008,-0.086346784,0.026161497,-0.265612057,-0.192618223,-0.047854734,-0.167947504,-0.305381485,-0.004886135,-0.082341125,-0.26895567,0.05103408,-0.13324865,-0.06220688,0.003632922,-0.029878601,-0.074380258,-0.052027417,0.039546542,0.097591561,-0.096237164,-0.044795808,0.040904164,0.023041472,-0.041589274,-0.014719418,0.139546166,-0.134264238,-0.071801503,-0.179356107,0.030302973,-0.1076781,-0.149986536,-0.112658536,-0.073170661,-0.070240239,0.035088091,0.046724017,-0.018341231,-0.189134574,-0.140261302,-0.243329112,-0.115095224,0.32179523,-0.077046501,-0.091836723,-0.067346918,0.034958836,-0.024890223,-0.06082771,-0.088508101,0.151796553,-0.028077639,-0.083694157,-0.345307061,-0.07685458,-0.010221686,-0.033905589,0.031769437,0.04191325,-0.018680021,-0.157608593,-0.062871012,0.0066,-0.081723406,0.003734818
-0.006893837,0.053804509,-0.017793621,-0.034285803,-0.01315488,0.194805258,0.029135057,0,0.004484405,0.137157177,0.003124932,0.046620043,0.02405477,0.009525792,0.055583146,0.010729604,0.079268332,0.002833564,0.082857269,0.087036924,0.082437261,-0.026881657,0.01406366,0.089494252,-0.039859457,0.116472436,0.004405322,0.064689971,-0.023972551,0.031304364,0,-0.016948995,0,-0.015543969,0.036199123,0.111111135,0.01333329,0.107696059,0.046563275,0.026330518,-0.022900748,-0.015747846,0.033391088,-0.023017915,0.045302173,-0.085365915,0.134114562,0.027251139,0.062962932,0.104278139,0.007005307,0.058454992,0.02941174,0.158139396,-0.00516499,-0.00318475,-0.003960359,-0.012779532,0.064989709,-0.017385341,0.050890611,-0.003049256,-0.009708786,0.023695291,0.079777433,-0.009316767,0,0.084142444,-0.016393366,0.029211471,0.133691278,0.017241339,0,0.030219809,0.099050106,-0.036192083,-0.040177148,-0.048219478,-0.01282061,0.041884813,0.069529497,0.053104777,0.153409142,0.078470795,-0.016759693,0.036480649,-0.040677943,0.058983847,0.019556484,0.053435292,0.054007045,0.146236606,0.09782559,0.057347301,-0.017391202,-0.004672964,-0.026284,0.02654877,0.018123664,0.069999912,0.0102,0.03177604,0.005205829
0.020833324,0.173539481,0.014824845,0.189830503,0.028559587,0.101612814,-0.039045558,0.103649004,0.053788521,0.004208806,-0.059973893,-0.071236803,0.016513314,0.091370565,0.080491154,0.006424628,-0.037542662,0.164556968,-0.011194028,-0.035792349,0.001988097,0.391304359,0.05177258,0.062164389,-0.037199108,-0.004497817,0.18558502,-0.008221295,0.012178558,-0.05717018,0.023975909,0.040590417,0.023201602,0.061833624,0.040498426,0.374759168,0.077342046,0.012875535,0.132528782,0.029801242,0.126050243,0.024822526,0.021769332,-0.101065619,0.094569135,0.007238448,0.116578384,0.101625989,0.032307671,0.119211549,-0.06825939,0.040537593,-0.043710959,0.140164902,-0.01750023,-0.009059256,-0.183132492,0.096342602,0.098428038,0.004296454,-0.045872182,0.034482962,0.006122448,-0.080308897,0.043209752,0.083935513,0.028153229,0.259123949,-0.155844245,0.033919582,-0.06013413,0.027855643,0.039500967,0.060048163,0.116694627,0.04208277,0.094921824,0.047272683,0.062524036,-0.089715461,-0.03466632,0.495011117,0.157223775,0.041853481,-0.014830495,0.095792305,0.023869773,0.022245246,0.118644133,0.134422137,0.205555507,-0.018868043,0.274144968,-0.118421114,0.105536265,0.082438679,0.033879078,-0.024999977,0.101256169,0.238066178,0.0026,0.056375287,0.003785195
0.007299285,-0.170939223,-0.013043533,-0.054347932,-0.067773141,-0.149252803,-0.076452629,-0.073803202,-0.043949739,-0.050966626,-0.009999948,-0.143815143,-0.059987759,0.011494139,0.051401825,-0.036718076,-0.175438673,-0.116935685,-0.12252968,0.043954702,-0.087431724,-0.115789564,-0.036809976,-0.058386416,-0.049839303,-0.029412118,-0.046296239,-0.047377339,0,-0.031602159,-0.004504497,0.015463996,0.004485359,-0.031249917,-0.006172834,-0.040498448,0.026372311,0.091205115,-0.042071385,-0.038297951,0.002040829,-0.09387746,-0.009389673,-0.043753324,-0.062308129,0.030823267,-0.084805627,-0.165919256,-0.078620666,0.010416137,0,-0.00660546,-0.04385303,-0.017241581,-0.021978076,-0.095911877,0.04179088,-0.060714258,-0.049421472,0,-0.018510006,-0.010637163,-0.004098188,0.081632488,-0.054404162,-0.007574743,-0.050073737,0.133330962,0.030120334,0.016213452,-0.110553011,-0.008443022,-0.027072952,-0.072075975,-0.057324801,-0.091042656,-0.20305091,-0.017006919,-0.007959114,-0.06666666,-0.056047104,0.1,-0.0444443,-0.081871325,0.013824692,0.004166659,-0.044078571,-0.046511899,0.033816426,-0.047872335,-0.106250119,-0.075109656,-0.046639033,-0.032863722,-0.051723827,-0.001920306,0.018382378,-0.002145909,-0.056768443,-0.058823648,0.003,-0.047892629,0.006620217
0.032941567,0.078799676,0.035971271,0.06996807,0.028089315,-0.030898913,0.034395252,0.163866666,0.090366576,0.070900656,-0.04632886,0.004495778,0.030976815,0.016612089,0.057560887,0.069818511,0.077629504,0.091763478,-0.004479472,0.022667192,0.016336138,0.062294327,0.019899715,-0.069754159,-0.01986755,0.042195019,-0.03668192,0.066317214,-0.010331,0.019816973,0.019084008,0.007836363,0.05736307,0.045068491,0.066364891,-0.044079248,-0.039131066,0.075229243,0.072276688,0.03811739,0.054770998,-0.011698009,0.002138715,0.085819133,0.010570877,0.075159159,0.009512417,0.00427189,0.063278772,0.029200387,0.019479262,0.030756721,0.075180675,0.072987268,0.028504627,-0.007323492,0.094311055,0.105989835,0.067562498,-0.043151981,0.03818078,0.146865625,0.034670282,0.060958271,0.013669171,0.082705373,0.135815696,0.067554144,0.135220216,-0.077200089,-0.003506722,0.082190102,0.042461925,0.082796186,-0.016505574,0.077017222,-0.180055475,-0.032258127,-0.03457696,-0.105022822,0.04455748,0.090909122,-0.029960094,0.088082932,0.022259654,-0.039111128,0.114446769,0.066207241,0.061198954,0.114129183,-0.035795576,0.070748733,0.017955649,0.025893548,-0.025177971,0.000458439,0.056242067,0.079668672,0.012259297,-0.027337178,0.0097,0.035794008,0.003738017
-0.002874874,0.000575403,-0.003015416,0.015309449,0.038232456,0.049112458,-0.020248784,-0.031862725,0.006267052,-0.019237443,-0.022420842,0.04080037,0.024335338,0.022897212,-0.002394288,0.01705178,-0.041865764,0.044740713,0.006484366,0.006815317,0.028571381,0.122434294,0.053335562,0.004537822,-0.028480193,0.086366557,-0.003766965,0.007142885,-0.042558487,0.03204059,0.006666613,0,-0.039699945,0.007469457,-0.007215529,0.076681814,-0.022092921,0.060991764,0.043858205,0.043702678,0.0980658,0.120689733,0.010913454,-0.093051549,0.005780275,0.041835122,0.011979756,0.05109869,0.004330366,0.02847128,-0.023274142,0.03720659,0.004049711,-0.028139439,-0.015072678,0.019131,0.041888615,0.089693534,-0.00980823,0.076070278,0.033292275,-0.027805995,0.012373444,-0.164221597,0.03089164,0.047843252,0.025120023,0.132822518,-0.052399622,0.025034689,0.042984931,0.00110475,-0.118843518,0.004314793,0.029027621,0.001292389,0.07518429,0.023308368,-0.051609795,0.045730448,0.016945654,0.098099366,0.043377706,0.01397634,0.005544166,0.011518259,0.01293575,0.065626014,0.045936506,-0.019914685,0.14176487,0.048195396,0.046236493,0.029175641,0.041151084,0.102862176,0.003547696,-0.00842325,0.050641331,0.010381041,0.0068,0.024566299,0.003781198
-0.015716654,0.240000144,0.048334096,0.051175806,0.043485446,0.033540363,0.034786897,0.066272203,0.076532539,0.05045012,-0.029528901,0.033043105,0.0289337,0.032595483,0.054753508,0.043428584,0.037827785,0.013863229,0.008564298,0.101768404,0.024621186,0.051487428,0.009523906,-0.00016258,0.062965743,0.047447594,0.025864683,0.036853346,0.028045245,0.123052986,0.041823446,0.022026643,0.045901597,-0.000328033,0.063026955,0.042910407,0.023785325,0.061104565,0.036342336,0.028022631,0.098690037,0.075748988,0.012943692,0.100855123,0.071811424,0.003154534,0.052057899,0.00717258,0.038112794,-0.024611304,0.021994479,0.066029966,-0.0271002,0.070814,0.169671031,-0.022636679,0.109031294,0.074120245,-0.059870903,0.033622569,-0.105078189,0.069132023,0.030319477,-0.001539355,0.014176762,0.105782782,0.25266396,0.00631908,0.078452422,0.011283863,0.129700596,0.038077247,0.032871674,0.006655896,-0.034985381,0.044939456,0.006924159,0.040153035,-0.000961563,0.07362546,0.105811379,0.181733462,0.037747251,0.042739043,0.037986749,0.020166329,-0.010876691,0.076851614,-0.00356295,0.126125043,0.025584785,0.065590686,0.035651839,0.105746877,0.042696269,-0.034495464,0.056140271,0.046877322,0.037237466,0.010312717,0.0079,0.038594936,0.003561085
